2007-04-11 11:00:15!AIVDM,1,1,,A,1592uM@P01IKTJ<:c4HcQOw40L2b,0*17
2007-04-11 11:00:15!AIVDM,1,1,,A,13bmJl0000PBpQ0MgMUJbPw00D2:,0*7F
2007-04-11 11:00:15!AIVDM,1,1,,A,138KTn101L0UhvpNqg::e8W40@D2,0*7A
2007-04-11 11:00:15!AIVDM,1,1,,A,19NWsRh03<02hH<Lu0qIiWhv0D1;,0*30
2007-04-11 11:00:15!AIVDM,1,1,,A,139I@q0P000eAQdN`9L00?w20@D3,0*02
2007-04-11 11:00:15!AIVDM,1,1,,A,13P7@p0000OrMI`O>j>Pa6520D0N,0*05
2007-04-11 11:00:15!AIVDM,1,1,,A,13P7@p0000OrMI`O>j>Pa6520D0N,0*05
2007-04-11 11:00:15!AIVDM,1,1,,A,15Mu6i0P0PIRIOlA8Dh:uww40@D1,0*1F
2007-04-11 11:00:15!AIVDM,1,1,,A,15Ms52P000re6cpGAF0h0@q02hD2,0*4C
2007-04-11 11:00:15!AIVDM,1,1,,A,13:p4N>0001DnEPO=3?`V1m42<0u,0*7F
2007-04-11 11:00:15!AIVDM,1,1,,A,176rbc000009sv4GbHm5aFM40<0c,0*69
2007-04-11 11:00:15!AIVDM,1,1,,A,15Or2:0P01G@1JTK@HGCVOw60<1M,0*31
2007-04-11 11:00:15!AIVDM,1,1,,A,13f9M88P00NqLpt@6sqr7?w400Sc,0*6C
2007-04-11 11:00:15!AIVDM,1,1,,A,146Su8;1hE1RWu@Pn6iK18k628D3,0*2E
2007-04-11 11:00:15!AIVDM,1,1,,A,13:p4N>0001DnEPO=3?`V1m42<0u,0*7F
2007-04-11 11:00:15!AIVDM,1,1,,A,13P7@p0000OrMI`O>j>Pa6520D0N,0*05
2007-04-11 11:00:15!AIVDM,1,1,,A,139I@q0P000eAQdN`9L00?w20@D3,0*02
2007-04-11 11:00:15!AIVDM,1,1,,A,19NWsRh03<02hH<Lu0qIiWhv0D1;,0*30
2007-04-11 11:00:15!AIVDM,1,1,,A,14ReiR001S1CgTDPPDqI6WA608D3,0*5D
2007-04-11 11:00:15!AIVDM,1,1,,A,13PbFn01C`ObiLPLLuO3IRg00D0c,0*26
2007-04-11 11:00:16!AIVDM,1,1,,A,139I@U0P000eea2NVAfP0?w20@D4,0*67
2007-04-11 11:00:16!AIVDM,1,1,,A,146Su8;1hE1RWu@Pn6iK18k628D3,0*2E
2007-04-11 11:00:16!AIVDM,1,1,,A,15N6M0PP00ISjcjA4TbWf?w604C@,0*55
2007-04-11 11:00:16!AIVDM,1,1,,A,13gL6WgP01NN:@lTRcCFA?w428D4,0*69
2007-04-11 11:00:16!AIVDM,1,1,,A,33M@FkQ4P3Oi=QdMIO4EV2c22000,0*23
2007-04-11 11:00:16!AIVDM,1,1,,A,13mCUL000I0bjf8Nvjm1wQe00L0>,0*03
2007-04-11 11:00:16!AIVDM,1,1,,A,13:1`6003TOtg2FLsH:lQCbv0HD5,0*18
2007-04-11 11:00:16!AIVDM,1,1,,A,15N:22?001I>;Ur@l63p@o142L4l,0*66
2007-04-11 11:00:16!AIVDM,1,1,,A,33M@FkQ4P3Oi=QdMIO4EV2c22000,0*23
2007-04-11 11:00:16!AIVDM,1,1,,A,13:p4N>0001DnEPO=3?`V1m42<0u,0*7F
