kayak 0.0 8.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
circlex 10 8.0 0.0 8.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
circle 5 8.0 0.0 8.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0
arc 10 8.0 0.0 8.0 0.0 90.0 0.0 1.0 0.0 0.0 1.0 
arc 10 8.0 0.0 8.0 90.0 180.0 0.0 0.0 1.0 0.0 1.0
arc 10 8.0 0.0 8.0 180.0 270.0 0.0 0.0 0.0 1.0 1.0
arc 10 8.0 0.0 8.0 270.0 360.0 0.0 0.0 1.0 0.0 1.0

kayak 0.0 -12.0 0.0 -8.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
circle 10 -12.0 0.0 -8.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0
circle 5 -12.0 0.0 -8.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0

linex 0.0 50.0 0.0 50.0 -50.0 0.0 50.0 1.0 1.0 0.0 1.0
linex 0.0 50.0 0.0 25.0 -50.0 0.0 25.0 1.0 1.0 0.0 1.0
linex 0.0 50.0 0.0 0.0 -50.0 0.0 0.0 1.0 1.0 0.0 1.0
linex 0.0 50.0 0.0 -25.0 -50.0 0.0 -25.0 1.0 1.0 0.0 1.0
linex 0.0 -50.0 0.0 50.0 -50.0 0.0 -50.0 1.0 1.0 0.0 1.0
linex 0.0 -50.0 0.0 -50.0 50.0 0.0 -50.0 1.0 1.0 0.0 1.0
linex 0.0 50.0 0.0 -50.0 50.0 0.0 50.0 1.0 1.0 0.0 1.0
linex 0.0 25.0 0.0 50.0 25.0 0.0 -50.0 1.0 1.0 0.0 1.0
linex 0.0 -25.0 0.0 50.0 -25.0 0.0 -50.0 1.0 1.0 0.0 1.0
linex 0.0 0.0 0.0 50.0 0.0 0.0 -50.0 1.0 1.0 0.0 1.0

linex 0.0 50.0 0.0 50.0 50.0 5.0 50.0 1.0 1.0 0.0 1.0
linex 0.0 -50.0 0.0 50.0 -50.0 5.0 50.0 1.0 1.0 0.0 1.0
linex 0.0 -50.0 0.0 -50.0 -50.0 5.0 -50.0 1.0 1.0 0.0 1.0




